Wall time,Step,Value
1631660468.5275621,5,0.0
1631660475.9212182,44,0.0
1631660484.020988,90,0.0
1631660492.0640821,185,0.0
1631660500.6053054,220,0.0
1631660510.5475597,291,0.0
1631660518.1977673,337,0.0
1631660525.9147336,338,0.0
1631660534.6069744,346,0.0
1631660543.2183099,416,0.0
1631660550.7588716,463,0.0
1631660558.4935746,475,0.0
1631660567.6728523,524,0.0
1631660578.07666,567,0.0
1631660586.6342466,573,0.0
1631660595.1548853,623,0.0
1631660604.7293503,667,0.0
1631660612.4278593,716,0.0
1631660622.7185662,754,0.0
1631660630.844475,810,0.0
1631660636.9481359,866,0.0
1631660647.3969579,946,0.0
1631660656.3531919,951,0.0
1631660667.06011,988,0.0
1631660675.9011827,1016,0.20000000298023224
1631660684.2516148,1039,0.20000000298023224
1631660694.5577638,1062,0.20000000298023224
1631660704.1471334,1080,0.20000000298023224
1631660714.6119735,1105,0.20000000298023224
1631660724.087272,1122,0.0
1631660732.1095562,1144,0.0
1631660740.0165799,1161,0.0
1631660748.594995,1188,0.0
1631660758.0283952,1203,0.0
1631660766.3475125,1221,0.0
1631660774.645377,1238,0.0
1631660783.2071035,1260,0.0
1631660792.0086231,1291,0.0
1631660799.661951,1308,0.20000000298023224
1631660808.9876316,1324,0.20000000298023224
1631660818.348684,1344,0.20000000298023224
1631660828.8014786,1362,0.20000000298023224
1631660838.1409504,1379,0.20000000298023224
1631660846.8114345,1416,0.0
1631660876.0489976,1428,0.0
1631660884.0734546,1462,0.0
1631660893.0377197,1465,0.0
1631660901.7260735,1466,0.0
1631660910.848986,1519,0.0
1631660917.846448,1554,0.0
1631660925.8255746,1557,0.0
1631660934.7678149,1562,0.0
1631660942.0316393,1566,0.0
1631660949.188734,1568,0.0
1631660958.052358,1572,0.0
1631660966.871309,1573,0.0
1631660975.6801717,1574,0.0
1631660984.399516,1575,0.0
1631660991.8764753,1577,0.0
1631661031.9767609,1580,0.0
1631661041.250088,1581,0.0
1631661050.1293886,1583,0.0
1631661058.9123888,1585,0.0
1631661067.7781713,1588,0.0
1631661076.2724266,1612,0.0
1631661083.1144717,1628,0.0
1631661090.5559897,1647,0.0
1631661096.7999222,1653,0.0
1631661104.559822,1657,0.0
1631661114.0075128,1676,0.0
1631661122.716609,1679,0.0
1631661131.734329,1686,0.0
1631661139.3812199,1692,0.0
1631661146.7761002,1703,0.0
1631661154.0532687,1706,0.0
1631661162.116811,1707,0.0
1631661169.4346037,1708,0.20000000298023224
1631661178.3742166,1709,0.20000000298023224
1631661188.310385,1742,0.20000000298023224
1631661196.0963433,1745,0.20000000298023224
1631661347.6867812,1771,0.10000000149011612
1631661356.462968,1772,0.0
1631661363.8197832,1775,0.0
1631661371.924306,1778,0.0
1631661420.4796014,1779,0.0
1631661426.4952362,1782,0.0
