Wall time,Step,Value
1607273433.5261202,5,200.0
1607273684.3138797,15,200.0
1607273716.8239014,18,200.0
1607273845.6426113,24,66.0
1607274243.4921482,40,200.0
1607274260.1929476,42,107.0
1607274282.1307082,44,200.0
1607274293.03416,45,200.0
1607274385.7602572,47,200.0
1607274512.8868003,53,200.0
1607274615.137454,56,200.0
1607274783.7394686,65,200.0
1607274909.39012,71,54.0
1607274920.266396,72,200.0
1607274992.7206712,73,29.0
1607274999.5426915,74,125.0
1607275015.9086642,79,26.0
1607275154.6921937,87,200.0
1607275373.522633,94,200.0
1607275509.0992844,102,200.0
1607275525.1321602,105,24.0
1607275529.595571,106,81.0
1607275640.6408854,113,107.0
1607275647.1201088,118,27.0
1607275663.2554047,126,21.0
1607275687.9753819,130,200.0
1607275849.0159647,139,161.0
1607275878.3442445,150,20.0
1607275893.921856,155,22.0
1607275916.6864493,158,200.0
1607275948.6485305,167,19.0
1607275959.5221186,168,200.0
1607275983.6811473,178,26.0
1607275990.1865926,183,21.0
1607276002.6016386,185,22.0
1607276003.6858137,186,20.0
1607276008.5578675,190,23.0
1607276018.0241625,198,21.0
1607276028.4015617,206,25.0
1607276029.6045613,207,22.0
1607276031.1279562,208,28.0
1607276036.7951887,212,25.0
1607276052.8064628,223,21.0
1607276069.7259915,229,23.0
1607276076.719281,234,24.0
1607276080.4595375,237,23.0
1607276096.7539897,249,22.0
1607276104.5027301,255,22.0
1607276111.2037318,260,25.0
1607276115.0547307,263,23.0
1607276152.405619,267,27.0
1607276157.7186685,271,23.0
1607276160.410401,273,24.0
1607276196.3830917,292,28.0
1607276203.3411505,297,26.0
1607276205.0704286,298,32.0
1607276222.257579,303,30.0
1607276229.942833,308,26.0
1607276232.5794578,310,23.0
1607276243.0829554,318,24.0
1607276244.3339531,319,22.0
1607276253.2744696,326,22.0
1607276254.7714462,327,27.0
1607276258.757729,330,24.0
1607276270.6314456,339,22.0
1607276289.9221306,347,22.0
1607276309.1652653,363,20.0
1607276313.9951813,367,21.0
1607276320.9417915,373,21.0
1607276325.509665,377,20.0
1607276327.6998677,379,20.0
1607276377.9933743,391,19.0
1607276379.1183345,392,20.0
1607276423.475185,408,20.0
1607276493.9523447,421,17.0
1607276495.0036578,422,19.0
1607276497.0077963,424,18.0
1607276513.4041026,430,19.0
1607276522.6495962,439,18.0
1607276524.645378,441,18.0
1607276525.6968803,442,19.0
1607276534.9676914,445,17.0
1607276540.8442132,451,18.0
1607276549.6720724,460,17.0
1607276552.7046921,463,18.0
1607276553.6657135,464,17.0
1607276563.6168764,474,17.0
1607276578.1834543,489,17.0
1607276580.0834665,491,17.0
1607276581.9770603,493,17.0
1607276601.770571,507,17.0
1607276606.6601427,512,17.0
1607276608.5831878,514,18.0
1607276611.3688102,517,16.0
1607276619.106678,525,19.0
1607276624.9898846,531,17.0
1607276626.9679768,533,18.0
1607276629.7757993,536,17.0
1607276635.4357524,542,17.0
1607276640.0691574,547,17.0
1607276649.799901,557,18.0
1607276657.9442744,559,17.0
1607276661.7267063,563,17.0
1607276667.4204247,569,17.0
1607276671.168142,573,17.0
1607276677.1923447,579,17.0
1607276679.2543263,581,19.0
1607276681.0483272,582,32.0
1607276682.992986,584,18.0
1607276685.0163174,586,18.0
1607276686.006318,587,18.0
1607276690.7776957,592,18.0
1607276691.7206857,593,17.0
1607276700.3465426,602,17.0
1607276706.1769195,608,17.0
1607276708.2768414,610,17.0
1607276720.0712683,615,17.0
1607276725.003254,620,21.0
1607276726.8888621,622,17.0
1607276738.5222006,634,17.0
1607276745.3561966,641,18.0
1607276746.3031898,642,17.0
1607276748.2671897,644,17.0
1607276749.2192063,645,17.0
1607276750.2072399,646,18.0
1607276751.1332037,647,17.0
1607276753.044546,649,18.0
1607276764.5203822,661,17.0
1607276767.442599,664,17.0
1607276773.82395,668,17.0
1607276782.7745717,671,17.0
1607276789.9541504,674,17.0
1607276793.6057384,678,17.0
1607276794.5327382,679,17.0
1607276798.2660584,683,17.0
1607276802.9881206,688,17.0
1607276803.91412,689,17.0
1607276810.5132117,696,17.0
1607276813.4262972,699,17.0
1607276817.1482954,703,17.0
1607276820.1157088,706,17.0
1607276828.4890034,714,30.0
1607276832.2085156,718,16.0
1607276834.986912,721,17.0
1607276842.130406,722,17.0
1607276843.053406,723,17.0
1607276849.8467176,730,17.0
1607276855.4727585,736,17.0
1607276857.3323655,738,17.0
1607276858.353465,739,18.0
1607276862.0878015,743,17.0
1607276865.828854,747,17.0
1607276868.7278543,750,18.0
1607276869.7168536,751,18.0
1607276870.6078098,752,16.0
1607276874.4788685,756,18.0
1607276883.2741988,765,19.0
1607276887.1066744,769,18.0
1607276888.186673,770,19.0
1607276889.1706738,771,18.0
1607276891.2465775,773,18.0
1607276892.2497401,774,18.0
1607276904.8108733,780,19.0
1607276908.7518883,784,18.0
1607276909.6777058,785,17.0
1607276911.6047704,787,18.0
1607276913.5127704,789,18.0
1607276916.3542743,792,17.0
1607276917.278284,793,17.0
1607276918.2672734,794,18.0
1607276919.2113764,795,17.0
1607276922.1083765,798,18.0
1607276925.984476,802,17.0
1607276930.6984954,807,17.0
1607276931.6227756,808,17.0
1607276932.5527751,809,17.0
1607276940.900596,815,17.0
1607277033.367955,825,200.0
1607277050.0122826,828,84.0
1607277141.9389563,832,200.0
1607277176.9593923,836,18.0
1607277189.0062547,838,17.0
1607277205.0268235,843,17.0
1607277237.0989642,867,16.0
1607277238.89296,869,17.0
1607277239.7629602,870,16.0
1607277243.4609601,874,17.0
1607277245.3029716,876,17.0
1607277248.8963006,880,16.0
1607277250.6562877,882,16.0
1607277263.6547325,890,16.0
1607277268.992426,896,16.0
1607277272.5556154,900,16.0
1607277278.7363083,907,16.0
1607277279.6323085,908,16.0
1607277280.5063097,909,16.0
1607277281.38933,910,16.0
1607277285.9186683,915,17.0
1607277287.7046661,917,16.0
1607277290.4712162,920,18.0
1607277291.3911617,921,17.0
1607277293.2133005,923,16.0
1607277300.3750017,931,16.0
1607277301.3129904,932,17.0
1607277304.2149935,935,19.0
1607277310.5985649,942,17.0
1607277319.1227462,945,17.0
1607277327.2194018,954,16.0
1607277328.949033,956,16.0
1607277330.682069,958,16.0
1607277333.3543978,961,17.0
1607277334.2823958,962,17.0
1607277342.5664136,971,17.0
1607277343.4849188,972,17.0
1607277347.2273288,976,18.0
1607277348.1623325,977,17.0
1607277349.0313265,978,16.0
1607277349.918329,979,16.0
1607277353.5613286,983,17.0
1607277354.489338,984,17.0
1607277357.5493379,987,17.0
1607277358.6410716,988,20.0
1607277366.8178551,996,26.0
1607277371.0689409,1000,17.0
1607277379.0313728,1002,17.0
1607277380.8813727,1004,17.0
1607277381.749373,1005,16.0
1607277392.5600107,1013,16.0
1607277393.5382044,1014,18.0
1607277396.2282224,1017,16.0
1607277403.566303,1025,18.0
1607277405.3137994,1027,16.0
1607277411.4341042,1031,16.0
1607277412.3581042,1032,17.0
1607277417.0191245,1037,16.0
1607277423.3869216,1044,16.0
1607277439.1336799,1055,17.0
1607277440.9306772,1057,17.0
1607277446.3999937,1063,16.0
1607277449.0708632,1066,16.0
1607277450.8788626,1068,17.0
1607277454.4902573,1072,17.0
1607277458.048848,1076,16.0
1607277459.8548458,1078,16.0
1607277464.2571347,1083,16.0
1607277465.2012155,1084,17.0
1607277466.126179,1085,17.0
1607277473.1416152,1093,16.0
1607277478.3691387,1099,16.0
1607277482.1261392,1103,17.0
1607277483.0151389,1104,16.0
1607277483.8873842,1105,16.0
1607277491.9804206,1114,16.0
1607277502.2743926,1119,16.0
1607277514.961361,1133,16.0
1607277516.7603238,1135,16.0
1607277535.1070087,1155,17.0
1607277535.9860544,1156,16.0
1607277539.6037643,1160,17.0
1607277540.5541387,1161,17.0
1607277541.4781044,1162,17.0
1607277563.9047353,1180,17.0
1607277568.5674012,1185,16.0
1607277575.000725,1192,17.0
1607277575.8882108,1193,16.0
1607277581.5936363,1199,16.0
1607277583.4166274,1201,17.0
1607277588.2352405,1206,16.0
1607277590.1044407,1208,17.0
1607277591.9644654,1210,17.0
1607277595.7407243,1214,16.0
1607277612.5808454,1232,17.0
1607277614.4026315,1234,16.0
1607277622.598465,1236,17.0
1607277630.0129485,1244,17.0
1607277632.850299,1247,16.0
1607277638.4803782,1253,16.0
1607277640.306226,1255,17.0
1607277642.164522,1257,17.0
1607277643.095972,1258,17.0
1607277645.9181044,1261,17.0
1607277650.5778933,1266,17.0
1607277658.2242248,1274,17.0
1607277664.60546,1281,16.0
1607277670.089233,1287,16.0
1607277673.6803398,1291,17.0
1607277674.598368,1292,17.0
1607277675.4603448,1293,16.0
1607277676.3243525,1294,16.0
1607277688.3020651,1300,17.0
1607277697.5543802,1310,16.0
1607277699.3131926,1312,16.0
1607277701.9810627,1315,16.0
1607277702.861332,1316,16.0
1607277705.5831149,1319,16.0
1607277711.1585915,1325,17.0
1607277712.982582,1327,17.0
1607277715.8138578,1330,17.0
1607277718.6603804,1333,16.0
1607277721.4853117,1336,16.0
1607277722.4549994,1337,17.0
1607277739.3398747,1355,17.0
1607277755.4179676,1366,16.0
1607277758.9630034,1370,16.0
1607277772.9273539,1385,17.0
1607277775.6400564,1388,16.0
1607277776.582051,1389,16.0
1607277778.5816488,1391,17.0
1607277779.5476484,1392,17.0
1607277797.8388598,1412,17.0
1607277798.7088604,1413,16.0
1607277799.57989,1414,16.0
1607277810.0328975,1419,17.0
1607277812.6649332,1422,16.0
1607277816.1787088,1426,16.0
1607277818.0727088,1428,16.0
1607277821.7438035,1432,16.0
1607277825.3761659,1436,16.0
1607277828.9701667,1440,16.0
1607277843.5871797,1456,16.0
1607277851.6965358,1465,17.0
1607277852.6805382,1466,17.0
1607277862.647681,1477,16.0
1607277875.5707166,1485,16.0
1607277876.4406812,1486,16.0
1607277879.136705,1489,17.0
1607277880.934504,1491,17.0
1607277881.8024406,1492,16.0
1607277888.9024208,1500,17.0
1607277889.842425,1501,17.0
1607277896.146171,1508,17.0
1607277897.8451707,1510,16.0
1607277909.4572542,1523,17.0
1607277910.333308,1524,16.0
1607277912.9885674,1527,16.0
1607277919.369236,1534,16.0
1607277935.9440236,1546,17.0
1607277940.3645587,1551,16.0
1607277941.2625933,1552,16.0
1607277943.0266204,1554,16.0
1607277949.20323,1561,16.0
1607277955.4725044,1568,16.0
1607277956.3685064,1569,16.0
1607277964.427157,1578,17.0
1607277968.0098538,1582,16.0
1607277969.7544174,1584,16.0
1607277973.3544755,1588,17.0
1607277981.518824,1597,17.0
1607277993.7846403,1604,17.0
1607277994.689668,1605,16.0
1607277999.069389,1610,16.0
1607278006.3733113,1618,16.0
1607278008.263805,1620,17.0
1607278014.4496648,1627,15.0
1607278015.3166032,1628,16.0
1607278018.9513776,1632,16.0
1607278023.4903822,1637,16.0
1607278026.2149818,1640,16.0
1607278027.9862492,1642,16.0
1607278030.7493248,1645,16.0
1607278033.456928,1648,16.0
1607278037.0990114,1652,16.0
1607278044.3595645,1660,16.0
1607278057.3323667,1668,17.0
1607278059.0793922,1670,16.0
1607278060.8643887,1672,16.0
1607278063.5270982,1675,16.0
1607278064.463082,1676,17.0
1607278069.9417446,1682,17.0
1607278070.8637786,1683,17.0
1607278077.9528985,1691,17.0
1607278080.5689433,1694,16.0
1607278081.451968,1695,16.0
1607278082.2729428,1696,15.0
1607278083.1446455,1697,16.0
1607278084.8767266,1699,16.0
1607278087.5079358,1702,16.0
1607278093.688939,1709,16.0
1607278094.624936,1710,17.0
1607278100.808094,1717,16.0
1607278101.6771061,1718,16.0
1607278102.5410898,1719,16.0
1607278116.5820506,1728,16.0
1607278120.181157,1732,15.0
1607278121.9091685,1734,16.0
1607278122.8026774,1735,16.0
1607278124.4966798,1737,15.0
1607278129.0389812,1742,16.0
1607278130.020265,1743,18.0
1607278131.771799,1745,16.0
1607278132.6962812,1746,16.0
1607278133.6602798,1747,16.0
1607278138.0565474,1752,16.0
1607278150.5052729,1766,16.0
1607278158.5230856,1775,16.0
1607278163.8045683,1781,16.0
1607278170.1166484,1788,16.0
1607278177.243625,1789,16.0
1607278185.1647954,1798,16.0
1607278191.4384747,1805,16.0
1607278199.428566,1814,16.0
1607278202.089951,1817,17.0
1607278208.5435574,1824,18.0
1607278210.3215575,1826,16.0
1607278213.8818738,1830,17.0
1607278222.7295222,1840,16.0
1607278223.6055205,1841,16.0
1607278226.2116916,1844,16.0
1607278230.6184614,1849,16.0
1607278240.3129232,1853,16.0
1607278264.8096204,1866,16.0
1607278270.4630003,1868,16.0
1607278273.559034,1869,15.0
1607278287.509297,1875,16.0
1607278289.8003063,1876,16.0
1607278292.3389409,1877,16.0
1607278298.6316013,1879,16.0
1607278304.055448,1881,16.0
1607278331.790512,1893,16.0
1607278373.9506245,1911,17.0
1607278395.7668297,1917,16.0
1607278411.3836498,1924,15.0
1607278426.9247222,1930,16.0
1607278436.167422,1934,16.0
1607278440.0133617,1936,16.0
1607278443.920979,1938,16.0
1607278456.34171,1944,16.0
1607278459.8009405,1947,16.0
1607278461.574379,1949,16.0
1607278464.139379,1952,15.0
1607278466.6993291,1955,15.0
1607278469.3133295,1958,16.0
1607278477.2779992,1967,15.0
1607278479.0090199,1969,16.0
1607278494.9081502,1981,16.0
1607278495.7761495,1982,16.0
1607278496.5964856,1983,15.0
1607278508.670461,1997,16.0
1607278512.1815965,2001,16.0
1607278515.6899502,2005,16.0
1607278519.231818,2009,16.0
1607278520.0991538,2010,16.0
1607278523.9006708,2013,16.0
1607278525.5948567,2015,16.0
1607278527.334299,2017,16.0
1607278534.3074625,2025,16.0
1607278536.047462,2027,16.0
1607278538.6072915,2030,16.0
1607278541.2280333,2033,16.0
1607278543.7724972,2036,16.0
1607278545.4991186,2038,15.0
1607278553.5537958,2041,16.0
1607278556.1504254,2044,15.0
1607278570.0881438,2060,15.0
1607278576.2195117,2067,16.0
1607278580.6759143,2072,16.0
1607278581.5679138,2073,16.0
1607278582.437053,2074,16.0
1607278584.171475,2076,16.0
