Wall time,Step,Value
1607252920.0529597,5,-294.01806640625
1607253204.9138236,18,-159.03640747070312
1607253341.725139,24,-216.10629272460938
1607253525.9328306,40,-19.840965270996094
1607253528.2690227,42,-25.158218383789062
1607253613.7869463,45,-30.182104110717773
1607253626.602692,47,-118.30048370361328
1607253713.1112432,53,-164.84426879882812
1607253745.740959,56,-167.34397888183594
1607253976.294147,71,-24.130718231201172
1607253989.746903,74,-16.410869598388672
1607254025.992232,94,-15.641985893249512
1607254035.2287266,102,-17.192453384399414
1607254038.4149952,105,-16.436126708984375
1607254039.4455442,106,-16.680809020996094
1607254048.0502377,113,-19.77996253967285
1607254086.414309,126,-22.312700271606445
1607254101.2753868,139,-16.89914321899414
1607254114.983814,150,-20.797395706176758
1607254121.571414,155,-23.280874252319336
1607254125.0868747,158,-17.26155662536621
1607254145.9659886,167,-20.228843688964844
1607254147.2863903,168,-21.564884185791016
1607254161.9753983,178,-18.863182067871094
1607254167.7943902,183,-17.148983001708984
1607254170.06053,185,-17.623905181884766
1607254171.1505613,186,-16.871570587158203
1607254175.4390252,190,-17.101945877075195
1607254184.090837,198,-16.974225997924805
1607254192.9260025,206,-15.801122665405273
1607254194.0556507,207,-18.109556198120117
1607254206.9460416,212,-15.674356460571289
1607254219.549237,223,-20.464845657348633
1607254225.9866176,229,-18.007808685302734
1607254231.6592402,234,-16.931324005126953
1607254235.0818334,237,-17.230993270874023
1607254247.626654,249,-16.497058868408203
1607254254.4166906,255,-19.211000442504883
1607254266.885424,260,-16.430866241455078
1607254274.2816246,267,-15.63330078125
1607254278.8501518,271,-18.978757858276367
1607254281.1289763,273,-16.518699645996094
1607254301.1380568,292,-17.432769775390625
1607254306.0603979,297,-16.18271827697754
1607254307.1426406,298,-17.649682998657227
1607254312.090987,303,-15.502452850341797
1607254317.014828,308,-15.004454612731934
1607254325.5034986,310,-17.290891647338867
1607254333.4406848,318,-15.111724853515625
1607254334.35759,319,-15.070554733276367
1607254345.6387167,330,-15.40461254119873
1607254354.1930048,339,-15.104741096496582
1607254361.7696474,347,-15.450407981872559
1607254376.9960573,363,-17.190898895263672
1607254386.8760488,367,-15.072694778442383
1607254396.38133,377,-14.944259643554688
1607254437.348608,421,-15.135099411010742
1607254438.2690616,422,-14.969337463378906
1607254452.260146,430,-14.85304069519043
1607254461.0829127,439,-18.626079559326172
1607254462.9174175,441,-14.939087867736816
1607254463.832628,442,-15.721173286437988
1607254466.5544372,445,-14.792753219604492
1607254472.6147075,451,-14.89376449584961
1607254486.7247858,460,-75.36157989501953
1607254489.4832036,463,-15.014849662780762
1607254490.4007928,464,-14.78317928314209
1607254499.6239288,474,-14.899407386779785
1607254522.3944108,491,-14.957914352416992
1607254524.249053,493,-14.85018539428711
1607254538.2532187,507,-14.729561805725098
1607254543.049258,512,-18.617097854614258
1607254544.8965309,514,-14.926161766052246
1607254547.7191374,517,-16.04669189453125
1607254555.469786,525,-14.837389945983887
1607254567.8275287,531,-16.34694480895996
1607254569.6737075,533,-14.921375274658203
1607254572.435994,536,-14.855589866638184
1607254578.0914276,542,-14.78322982788086
1607254582.6862605,547,-14.94980239868164
1607254592.035757,557,-14.76424503326416
1607254597.5828147,563,-14.81799602508545
1607254603.268759,569,-14.761139869689941
1607254606.9520545,573,-14.733755111694336
1607254612.445467,579,-14.853100776672363
1607254614.3146806,581,-14.765247344970703
1607254617.0850604,584,-14.722524642944336
1607254618.92007,586,-14.890175819396973
1607254619.835103,587,-15.071822166442871
1607254630.242141,592,-14.775940895080566
1607254631.111155,593,-14.542076110839844
1607254639.3706362,602,-14.817865371704102
1607254646.7808027,610,-14.848137855529785
1607254651.4049318,615,-15.049567222595215
1607254656.055235,620,-14.980080604553223
1607254657.895296,622,-15.342900276184082
1607254668.9737153,634,-14.859359741210938
1607254675.4210138,641,-14.972406387329102
1607254676.3410344,642,-14.791380882263184
1607254678.2212389,644,-14.913325309753418
1607254680.115859,646,-14.964540481567383
1607254681.0348873,647,-14.707918167114258
1607254689.015664,649,-15.16146183013916
1607254700.1828744,661,-15.143623352050781
1607254703.0004745,664,-14.872936248779297
1607254706.6962025,668,-14.970672607421875
1607254709.448638,671,-14.809062004089355
1607254712.200318,674,-14.927168846130371
1607254715.919906,678,-14.796147346496582
1607254716.8339264,679,-14.783365249633789
1607254720.530941,683,-14.975955963134766
1607254725.2188096,688,-16.114219665527344
1607254735.3730853,699,-15.216890335083008
1607254741.7688246,706,-14.816704750061035
1607254755.34592,714,-15.150673866271973
1607254759.034106,718,-14.757807731628418
1607254761.7869759,721,-15.040268898010254
1607254762.7019126,722,-14.76767349243164
1607254763.623931,723,-15.00795841217041
1607254770.241353,730,-14.911242485046387
1607254775.7327337,736,-14.579257011413574
1607254777.5886834,738,-14.842692375183105
1607254778.5096607,739,-14.715249061584473
1607254782.2121308,743,-15.332261085510254
1607254785.907138,747,-14.793505668640137
1607254789.6249776,751,-14.994770050048828
1607254790.543021,752,-14.758827209472656
1607254794.1816022,756,-14.866887092590332
1607254802.4457426,765,-14.799687385559082
1607254812.2225738,769,-14.7838716506958
1607254813.1395943,770,-14.816437721252441
1607254814.0642657,771,-14.828316688537598
1607254815.9324977,773,-14.721460342407227
1607254816.861796,774,-14.892952919006348
1607254822.3867373,780,-15.048996925354004
1607254826.0461376,784,-14.52050495147705
1607254827.025798,785,-15.5577392578125
1607254828.871895,787,-14.773191452026367
1607254830.7072926,789,-14.828619956970215
1607254833.4747272,792,-15.089442253112793
1607254834.3405302,793,-14.572093963623047
1607254835.2035966,794,-14.628682136535645
1607254838.868187,798,-14.804865837097168
1607254842.6630032,802,-14.864409446716309
1607254847.3111303,807,-15.029341697692871
1607254848.2284858,808,-15.042071342468262
1607254849.1424282,809,-14.938740730285645
1607254876.5720637,832,-14.805947303771973
1607254880.268784,836,-15.094130516052246
1607254882.0409937,838,-15.066252708435059
1607254886.6385024,843,-14.923208236694336
1607254908.7642148,867,-14.886222839355469
1607254910.5436828,869,-14.889748573303223
1607254915.1645727,874,-14.879805564880371
1607254917.0054336,876,-15.02070426940918
1607254920.711055,880,-14.776093482971191
1607254922.5421157,882,-15.15456485748291
1607254936.0492628,890,-14.848906517028809
1607254941.5334184,896,-14.823055267333984
1607254945.2300992,900,-14.976920127868652
1607254951.6660736,907,-14.799126625061035
1607254953.5176797,909,-15.176887512207031
1607254959.05436,915,-14.815253257751465
1607254960.8944628,917,-15.135905265808105
1607254963.7321813,920,-14.950254440307617
1607254966.4946053,923,-14.941413879394531
1607254973.8045032,931,-14.73846435546875
1607254974.727646,932,-14.75793743133545
1607254977.4597497,935,-14.86393928527832
1607254983.933402,942,-14.915684700012207
1607254992.829137,945,-14.795032501220703
1607255001.1551962,954,-15.052372932434082
1607255004.829293,958,-14.861210823059082
1607255007.5964987,961,-14.774035453796387
1607255008.5104012,962,-15.0000581741333
1607255016.7597358,971,-14.863497734069824
1607255017.711093,972,-14.73569107055664
1607255021.3573205,976,-14.669341087341309
1607255023.1541736,978,-14.542280197143555
1607255024.0742166,979,-15.048328399658203
1607255027.704467,983,-14.833267211914062
1607255028.6345763,984,-14.747819900512695
1607255031.4056983,987,-14.912307739257812
1607255032.3147707,988,-14.924065589904785
1607255040.530165,996,-14.539742469787598
1607255044.09595,1000,-14.704558372497559
1607255045.879081,1002,-14.479901313781738
1607255053.563944,1004,-14.49084186553955
1607255054.4896152,1005,-14.836655616760254
1607255062.6157167,1014,-14.91184139251709
1607255065.3469968,1017,-14.570964813232422
1607255072.6020598,1025,-14.547286033630371
1607255074.3914223,1027,-14.74699878692627
1607255083.412617,1037,-14.776965141296387
1607255089.7954948,1044,-14.950161933898926
1607255101.7140274,1057,-14.689326286315918
1607255112.862731,1063,-14.456977844238281
1607255115.6033373,1066,-14.649889945983887
1607255117.4423282,1068,-15.036272048950195
1607255121.0413787,1072,-14.47727108001709
1607255124.6574106,1076,-14.826518058776855
1607255126.449419,1078,-14.574763298034668
1607255130.985543,1083,-14.610033988952637
1607255131.9213376,1084,-14.799015045166016
1607255140.1276786,1093,-14.73045825958252
1607255145.4369524,1099,-14.719700813293457
1607255149.1197307,1103,-14.591094970703125
1607255150.05377,1104,-14.78052043914795
1607255158.9775841,1114,-14.804075241088867
