Wall time,Step,Value
1607349902.8047268,0,-295.12908935546875
1607349910.0423064,1,-336.93646240234375
1607349917.2477765,2,-351.4924011230469
1607349924.4832184,3,-323.3146057128906
1607349931.6949787,4,-359.6460266113281
1607350013.119904,5,-323.2234802246094
1607350023.9420707,6,-333.951416015625
1607350034.7146208,7,-343.74114990234375
1607350045.5210469,8,-304.58184814453125
1607350056.3246899,9,-273.7395324707031
1607350138.2545736,10,-347.3527526855469
1607350149.1439543,11,-292.0709533691406
1607350160.0043483,12,-332.0985412597656
1607350170.9333029,13,-250.34425354003906
1607350181.8175554,14,-280.3526916503906
1607350263.1025352,15,-269.42822265625
1607350273.9823077,16,-294.21624755859375
1607350284.7923295,17,-263.8645324707031
1607350295.6752372,18,-267.19061279296875
1607350306.5309062,19,-274.9532470703125
1607350388.0031471,20,-272.0648193359375
1607350398.7957654,21,-304.1263427734375
1607350409.5985115,22,-263.1268310546875
1607350420.4547536,23,-248.4121551513672
1607350431.3002322,24,-269.5215148925781
1607350512.709284,25,-262.8351745605469
1607350523.5366251,26,-255.58547973632812
1607350534.3901484,27,-315.5616149902344
1607350545.1868598,28,-251.4283905029297
1607350555.9969187,29,-251.95726013183594
1607350637.4295492,30,-266.11981201171875
1607350648.2878032,31,-254.04762268066406
1607350659.1344686,32,-245.77484130859375
1607350669.990769,33,-250.93589782714844
1607350680.8708808,34,-248.20477294921875
1607350762.2133288,35,-246.80564880371094
1607350773.0567977,36,-248.7769012451172
1607350783.9208095,37,-242.6024627685547
1607350794.783104,38,-244.23971557617188
1607350805.627869,39,-234.32615661621094
1607350887.0697222,40,-239.34097290039062
1607350897.925526,41,-235.69361877441406
1607350908.735195,42,-242.0719451904297
1607350919.6112387,43,-242.26296997070312
1607350930.4390607,44,-242.8584442138672
1607351011.8795643,45,-232.38787841796875
1607351022.8440793,46,-239.73892211914062
1607351033.7449577,47,-235.41989135742188
1607351044.6134355,48,-225.10569763183594
1607351055.505846,49,-236.29739379882812
1607351137.0062551,50,-241.97470092773438
1607351147.84857,51,-236.561279296875
1607351158.707188,52,-231.4772491455078
1607351169.5446177,53,-236.75662231445312
1607351180.3975503,54,-235.9136962890625
1607351261.8567388,55,-231.9835968017578
1607351272.7099211,56,-222.99383544921875
1607351284.6723092,57,-239.94317626953125
1607351295.5016072,58,-231.6314697265625
1607351306.3656685,59,-234.73060607910156
1607351387.8343158,60,-230.16033935546875
1607351398.7286475,61,-230.2855987548828
1607351409.6200674,62,-228.6792755126953
1607351420.4668722,63,-229.41705322265625
1607351431.314661,64,-224.12698364257812
1607351512.7667322,65,-225.4398956298828
1607351523.6060767,66,-223.1610870361328
1607351534.512704,67,-226.26918029785156
1607351545.3524334,68,-225.8363800048828
1607351556.1789684,69,-229.22352600097656
1607351637.617466,70,-228.719482421875
1607351648.4582245,71,-230.17774963378906
1607351659.3597705,72,-226.60777282714844
1607351670.2215927,73,-224.3743438720703
1607351681.1181972,74,-228.0885009765625
1607351762.747946,75,-224.16897583007812
1607351773.688825,76,-225.4518280029297
1607351784.5534263,77,-227.21563720703125
1607351795.4100513,78,-225.0815887451172
1607351806.2686665,79,-227.5255126953125
1607351887.6590598,80,-219.218994140625
1607351898.542754,81,-222.50718688964844
1607351909.4119427,82,-222.9229736328125
1607351920.2971213,83,-227.54420471191406
1607351931.176089,84,-223.52745056152344
1607352012.8366334,85,-222.11485290527344
1607352023.6918557,86,-218.3328399658203
1607352034.5816383,87,-222.3328094482422
1607352045.4112115,88,-219.74778747558594
1607352056.249372,89,-219.83705139160156
1607352137.6827357,90,-221.7675018310547
1607352148.6437366,91,-213.4449005126953
1607352159.6236742,92,-222.11019897460938
1607352170.5303395,93,-222.8284149169922
1607352181.4304876,94,-220.39845275878906
1607352263.1178293,95,-219.27035522460938
1607352274.0083368,96,-222.23193359375
1607352284.898463,97,-221.5974884033203
1607352295.772491,98,-219.80123901367188
1607352306.6697655,99,-219.05422973632812
1607352388.108496,100,-219.5791778564453
1607352398.93376,101,-215.06610107421875
1607352409.8234518,102,-220.447509765625
1607352420.6575212,103,-220.13746643066406
1607352431.4954967,104,-218.39743041992188
1607352513.0474036,105,-216.2942352294922
1607352524.0077665,106,-219.09536743164062
1607352534.903254,107,-218.5599365234375
1607352545.8745193,108,-221.13177490234375
1607352557.0619473,109,-216.7735137939453
1607352639.6712677,110,-216.35757446289062
1607352650.8037417,111,-213.97425842285156
1607352661.8575935,112,-216.38426208496094
