Wall time,Step,Value
1607196208.8844943,5,-348.3565368652344
1607196219.8775125,6,-270.1229553222656
1607196341.0398917,11,-96.39564514160156
1607196369.317181,14,-259.6819763183594
1607196372.8381195,15,-73.89216613769531
1607196452.8435361,18,-117.75679016113281
1607196463.9060154,19,-254.36395263671875
1607196474.949999,20,-231.83709716796875
1607196540.7566142,24,-119.64583587646484
1607196792.5319803,36,-60.43992614746094
1607196896.2455208,40,-170.71990966796875
1607196908.494752,42,-90.23233032226562
1607196922.3511653,44,-145.82217407226562
1607196925.8488832,45,-63.138282775878906
1607196933.4738314,47,-43.52133560180664
1607197023.4861882,53,-40.945777893066406
1607197025.6109648,54,-40.35896682739258
1607197027.7532055,55,-42.1015625
1607197029.9257097,56,-41.991939544677734
1607197032.1572552,57,-40.324562072753906
1607197050.637287,65,-43.813621520996094
1607197058.6812632,68,-46.47587203979492
1607197075.2680197,71,-44.97117233276367
1607197152.1166377,72,-89.7153091430664
1607197154.345029,73,-41.03445816040039
1607197156.335441,74,-36.916255950927734
1607197170.8000054,79,-99.77792358398438
1607197187.3170087,87,-40.7014274597168
1607197189.0330386,88,-30.485424041748047
1607197229.9372234,94,-132.15782165527344
1607197250.0134182,102,-36.476348876953125
1607197255.771652,105,-32.19142532348633
1607197257.4771805,106,-29.611696243286133
1607197279.0403085,113,-32.48517990112305
1607197350.0068069,116,-32.67978286743164
1607197354.3575752,118,-46.305118560791016
1607197367.5983562,125,-31.420957565307617
1607197370.0796354,126,-46.14961624145508
1607197375.8294413,129,-34.42451858520508
1607197377.7063231,130,-33.76377487182617
1607197397.197782,139,-30.351102828979492
1607197414.2102237,141,-35.01997375488281
1607197416.0506737,142,-33.009071350097656
1607197417.9381778,143,-33.654014587402344
1607197431.4545455,150,-34.553585052490234
1607197440.7064476,155,-33.90802001953125
1607197444.4196594,157,-27.99638557434082
1607197447.0657346,158,-46.098243713378906
1607197454.062801,162,-29.90966796875
1607197463.4337974,167,-32.2307014465332
1607197465.31141,168,-32.293766021728516
1607197482.1722186,171,-31.64413070678711
1607197492.535201,177,-29.78355598449707
1607197494.2792947,178,-29.996118545532227
1607197498.0274363,180,-32.31121063232422
1607197503.2787013,183,-32.914085388183594
1607197506.573429,185,-30.599287033081055
