Wall time,Step,Value
1607218069.219239,5,200.0
1607218080.1815047,6,200.0
1607218205.356491,11,200.0
1607218231.3507667,14,200.0
1607218235.878066,15,83.0
1607218340.0183873,18,200.0
1607218341.963424,19,36.0
1607218352.6636553,20,196.0
1607218456.0577116,24,200.0
1607218586.343898,36,56.0
1607218701.317778,40,200.0
1607218713.3957102,42,177.0
1607218803.5439873,44,127.0
1607218805.56221,45,37.0
1607218818.4744542,47,200.0
1607218926.8291163,53,46.0
1607218928.7803807,54,36.0
1607218930.760376,55,36.0
1607218932.6563778,56,35.0
1607218937.3941352,57,86.0
1607218953.29925,65,35.0
1607218959.7288623,67,72.0
1607218961.6297846,68,35.0
1607218968.1673484,71,35.0
1607218969.9646623,72,33.0
1607218983.3062143,73,33.0
1607218994.2586882,74,200.0
1607219006.8882303,79,35.0
1607219031.8526971,87,33.0
1607219066.6857529,88,115.0
1607219081.9751375,94,41.0
1607219096.9026675,102,33.0
1607219106.1901019,105,33.0
1607219108.083526,106,34.0
1607219133.8627744,113,36.0
1607219139.5877454,116,37.0
1607219143.4090428,118,35.0
1607219166.0904539,125,34.0
1607219167.9621897,126,34.0
1607219173.5757046,129,37.0
1607219175.4827108,130,35.0
1607219205.1442473,139,34.0
1607219209.156935,141,36.0
1607219211.0599353,142,35.0
1607219212.7029402,143,30.0
1607219225.4941664,150,33.0
1607219236.1952608,155,33.0
1607219240.2546167,157,33.0
1607219242.0495915,158,33.0
1607219249.4826455,162,33.0
1607219330.4477377,167,43.0
1607219332.2187312,168,32.0
1607219340.5501535,171,53.0
1607219353.248754,177,55.0
1607219355.1201828,178,34.0
1607219359.987746,180,57.0
1607219366.0979316,183,42.0
1607219369.6760013,185,32.0
1607219371.5871294,186,34.0
1607219375.5762498,188,36.0
1607219390.698744,190,38.0
1607219392.4078217,191,31.0
1607219412.803125,198,113.0
1607219428.6401153,206,33.0
1607219430.726069,207,38.0
1607219432.5330708,208,33.0
1607219440.389094,212,33.0
1607219535.5699637,222,35.0
1607219537.9319947,223,43.0
1607219542.8419948,225,58.0
1607219551.590454,229,34.0
1607219561.600372,232,47.0
1607219563.4842873,233,34.0
1607219566.2199244,234,50.0
1607219589.0841453,237,34.0
1607219612.9819787,249,33.0
1607219623.9534025,255,35.0
1607219629.4864047,258,32.0
1607219633.0654068,260,32.0
1607219634.824408,261,32.0
1607219687.7896342,263,52.0
1607219696.2452054,267,41.0
1607219703.9710793,271,33.0
1607219707.4849656,273,32.0
1607219716.3631968,278,31.0
1607219756.4271014,292,45.0
1607219765.8728821,297,32.0
1607219767.8128848,298,35.0
1607219776.2373517,302,43.0
1607219778.3207788,303,38.0
1607219786.4297454,307,42.0
1607219788.2065797,308,32.0
1607219792.0282185,310,33.0
1607219797.7225206,313,33.0
1607219807.429682,318,33.0
1607219821.6113462,319,51.0
1607219823.5073466,320,35.0
1607219832.8899605,325,35.0
1607219834.6772106,326,33.0
1607219836.478997,327,33.0
1607219842.0657644,330,34.0
1607219858.7850444,339,32.0
1607219863.0815592,341,37.0
1607219885.587569,347,33.0
1607219896.1998227,353,33.0
1607219898.0407896,354,34.0
1607219909.4660246,360,33.0
1607219914.9249258,363,33.0
1607219922.165426,367,33.0
1607219930.5879421,371,34.0
1607219934.0563793,373,31.0
1607219954.1241615,377,35.0
1607219955.8561633,378,32.0
1607219958.1690779,379,42.0
1607219962.4804397,381,33.0
1607219971.79602,386,31.0
1607219980.7343242,391,33.0
1607219982.46885,392,32.0
1607219984.2603412,393,33.0
1607220023.8621738,408,30.0
1607220036.6158316,415,30.0
1607220049.9744146,421,38.0
1607220051.7013893,422,31.0
1607220055.1514266,424,32.0
1607220058.852382,426,34.0
1607220066.999561,430,31.0
1607220097.5341728,439,40.0
1607220100.9367201,441,30.0
1607220103.076778,442,38.0
1607220108.472321,445,33.0
1607220120.469813,451,33.0
1607220138.1831343,459,33.0
1607220140.0416777,460,34.0
1607220157.376316,463,33.0
1607220161.7133667,464,79.0
1607220181.2360299,473,33.0
1607220183.2960312,474,37.0
1607220205.4438715,485,29.0
1607220223.3302693,488,31.0
1607220225.0140598,489,31.0
1607220228.4835722,491,30.0
1607220231.9775758,493,30.0
1607220271.4216306,507,32.0
1607220291.8857982,512,30.0
1607220295.2188509,514,30.0
1607220308.282271,517,31.0
1607220311.9042747,519,34.0
1607220320.2210941,524,31.0
1607220321.8773181,525,30.0
1607220332.3984845,531,38.0
1607220335.9274678,533,30.0
1607220337.6765566,534,32.0
1607220340.9935517,536,30.0
1607220342.72152,537,32.0
1607220362.994493,540,31.0
1607220366.425155,542,31.0
1607220374.920448,547,30.0
1607220376.5544496,548,30.0
1607220391.9438808,557,29.0
1607220395.3906493,559,32.0
1607220402.604848,563,33.0
1607220404.5488272,564,36.0
1607220406.1908295,565,30.0
1607220424.0187612,569,30.0
1607220431.2368004,573,38.0
1607220432.8648472,574,30.0
1607220437.976339,577,33.0
1607220441.2953966,579,31.0
1607220443.3707702,580,38.0
1607220445.047772,581,31.0
1607220446.8187747,582,32.0
1607220448.411777,583,29.0
1607220450.0867765,584,31.0
1607220453.9685268,586,40.0
1607220455.978629,587,37.0
1607220464.4120462,592,31.0
1607220466.2448332,593,33.0
1607220473.4487882,597,30.0
1607220478.5497792,600,32.0
1607220493.1770456,602,33.0
1607220503.4241242,608,35.0
1607220506.9366572,610,35.0
1607220515.6038253,615,31.0
1607220522.8198292,619,36.0
1607220524.5545201,620,32.0
1607220528.1717446,622,31.0
1607220560.1634188,634,30.0
1607220571.6305645,641,30.0
1607220573.3284829,642,31.0
1607220576.7973008,644,31.0
1607220578.8263693,645,37.0
1607220580.8653705,646,37.0
1607220582.4926584,647,30.0
1607220585.8805509,649,32.0
1607220591.6801507,652,31.0
1607220599.419387,656,42.0
1607220601.0991335,657,31.0
1607220607.920408,661,30.0
1607220625.7080886,664,31.0
1607220633.0418277,668,40.0
1607220638.4146314,671,30.0
1607220640.4627783,672,37.0
1607220642.1669254,673,31.0
1607220643.8271658,674,30.0
1607220646.6653118,675,52.0
1607220651.594928,677,33.0
1607220653.3009305,678,31.0
1607220655.0396442,679,31.0
1607220660.0687268,682,30.0
1607220661.7773366,683,31.0
1607220663.359658,684,29.0
1607220666.7036316,686,31.0
1607220669.9764307,688,30.0
1607220671.6554337,689,31.0
1607220719.230272,696,46.0
1607220724.3180146,699,29.0
1607220731.0657177,703,31.0
1607220736.406934,706,38.0
1607220740.2814388,708,29.0
1607220743.8820484,710,31.0
1607220750.8521,714,31.0
1607220757.9137368,718,34.0
1607220763.3115342,721,30.0
1607220764.9530232,722,30.0
1607220777.331295,723,35.0
1607220779.0412982,724,31.0
1607220789.2669878,730,31.0
1607220799.6178787,736,32.0
1607220803.004928,738,31.0
1607220804.6847177,739,31.0
1607220811.2656598,743,29.0
1607220816.2710142,746,30.0
1607220818.495953,747,41.0
1607220823.4822283,750,30.0
1607220825.0986483,751,30.0
1607220827.0196497,752,35.0
1607220830.543652,754,29.0
1607220844.5524776,756,29.0
1607220854.7698545,762,29.0
1607220860.3848963,765,32.0
1607220862.0360515,766,30.0
1607220868.4443288,769,34.0
1607220870.2914257,770,34.0
1607220871.8705702,771,29.0
1607220875.2845795,773,32.0
1607220877.0837843,774,33.0
1607220887.55535,780,29.0
1607220894.056497,784,30.0
1607220895.6410122,785,29.0
1607220915.259109,787,30.0
1607220918.7994223,789,31.0
1607220922.1724386,791,32.0
1607220924.042165,792,34.0
1607220926.0668366,793,37.0
1607220927.852983,794,33.0
1607220931.5728993,795,68.0
1607220936.7676003,798,30.0
1607220940.5688043,800,39.0
1607220943.869375,802,29.0
1607220949.107019,805,32.0
1607220952.2612498,807,29.0
1607220953.8720615,808,29.0
1607220956.4286118,809,47.0
1607220978.2877038,815,42.0
1607220979.9023788,816,30.0
